POSITION,TYPE/VESSEL,REMARKS
"2O, 3O, 2AE, 3AE",LNG,NEWLY BUILD VESSEL
RATINGS,LNG,NEWLY BUILD VESSEL
"2O, 3O3, 2AE, 3AE",VLGC,NEWLY BUILD VESSEL
RATINGS,VLGC,NEWLY BUILD VESSEL
GAS ENGR,VLGC,NEWLY BUILD VESSEL
"2O, 3O, 2AE, 3AE",CONTAINER,DUAL FUEL ENGINE
RATINGS,CONTAINER,DUAL FUEL ENGINE
1AE,BULK,PANAMAX / CAPESIZE
"CM, 1AE",BULK,SUPRAMAX
"MSTR, CE, CM, 1AE",CRUDE,VLCC / AFRAMAX
"2O, 3O, 2AE, 3AE",CRUDE,VLCC / AFRAMAX
"MSTR, CE, CM, 1AE",OIL CHEM,FAR EAST TRADE
"2O, 3O, 2AE, 3AE",BULK,HANDY / PANAMAX / CAPESIZE
ETOd,BULK,ME ENGINE EXP
